NAME_2,NewDist20,Lon,Lat,wsgd,gwad
Nanyumbu,Nanyumbu DC,38.41139401,-11.03171435,0.1257125,3218
Newala,Newala DC,39.2847364,-10.72150765,0.1989875,3152
Njombe,Njombe DC,35.19035419,-9.227312014,0.283225,3117
Njombe Urban,Njombe Urban DC,34.88728128,-9.517248435,0.2222875,3148
Nkasi,Nkasi DC,31.00579768,-7.554130704,0,3408
Nyasa,Nyasa DC,34.99496373,-11.21506683,0.130025,3224
Nzega,Nzega DC,33.01316776,-4.390098992,0,3198
Ruangwa,Ruangwa DC,38.98705475,-10.05170766,0.3518125,3111
Rufiji,Rufiji DC,38.67164108,-7.942795128,0.150375,3203
Rungwe,Rungwe DC,33.68897731,-9.233196845,0.3123625,3102
Sikonge,Sikonge DC,33.09656735,-6.041488261,0.0399875,3185
Singida Rural,Singida Rural DC,34.98234954,-4.720332793,0.06775,3201
Singida Urban,Singida Urban DC,34.72114072,-4.833833279,0.2437125,3099
Songea Rural,Songea Rural DC,35.52374337,-10.44002624,0.1059375,3222
Songea Urban,Songea Urban DC,35.6200716,-10.65344054,0.3077125,3136
Sumbawanga Rural,Sumbawanga Rural DC,31.94455034,-8.229245305,0.0044125,3442
Sumbawanga Urban,Sumbawanga Urban DC,31.61587349,-7.983109458,0,3416
Tabora Urban,Tabora Urban DC,32.79611969,-4.995181595,0,3231
Tandahimba,Tandahimba DC,39.56977966,-10.72070724,0.208975,3190
Tunduma,Tunduma DC,32.80371374,-9.30455084,0.0238625,3269
Tunduru,Tunduru DC,37.28492552,-10.95835309,0.244175,3126
Ulanga,Ulanga DC,36.61415826,-9.054239798,0.058275,3194
Urambo,Urambo DC,32.13569101,-5.277973811,0,3215
Uvinza,Uvinza DC,30.2498309,-5.524143337,0.0203,3173
Uyui,Uyui DC,33.28884289,-5.105637972,0.0165,3241
Wanging'ombe,Wanging'ombe DC,34.56967066,-9.045070169,0.0690875,3204
